Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,Course Name,Description,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2021 - 2022,2022 Spring,GRAD,GRAD,Abhishek,Santra,Enamul Karim,CSE,5331,1,DBMS MODELS AND IMPLEMENTATION TECHNIQUES,"DBMS system implementation techniques, including query optimization, transaction processing, concurrency control, buffer management and recovery. Object-oriented, object-relational and XML databases. Introduction to advanced database models, such as active, distributed, temporal, spatial and data warehousing.",16,20,1,0,0,0,0,0,0,0,0,37
2021 - 2022,2022 Spring,GRAD,GRAD,Abhishek,Santra,"Mengxiao Wang, Tulasi Nakka",CSE,5330,3,DATABASE SYSTEMS,"Database system architecture;  management and analysis of files, indexing, hashing, and B+-trees; the relational model and algebra; the SQL database language; database programming techniques, database design using Entry-Relationship, extended E-R, and UML modeling; basics of normalization. Introduction to database security, query processing and transaction management.",32,38,3,0,1,0,0,0,0,0,0,74
2021 - 2022,2022 Spring,GRAD,GRAD,Alex,Dillhoff,Yanjun Lyu,CSE,6363,6,MACHINE LEARNING,"A detailed investigation of current machine learning methods, including statistical, connectionist, and symbolic learning. Presents theoretical results for comparing methods and determining what is learnable. Current issues in machine learning research will also be examined. Prerequisite:CSE 5301or consent of instructor.",21,9,1,0,0,0,0,0,0,0,0,31
2021 - 2022,2022 Spring,GRAD,GRAD,Alex,Dillhoff,Yanjun Lyu,CSE,6363,102,MACHINE LEARNING,"A detailed investigation of current machine learning methods, including statistical, connectionist, and symbolic learning. Presents theoretical results for comparing methods and determining what is learnable. Current issues in machine learning research will also be examined. Prerequisite:CSE 5301or consent of instructor.",12,0,0,0,0,0,0,0,0,0,0,12
2021 - 2022,2022 Spring,GRAD,GRAD,Allison,Sullivan,Ana Jovanovic,CSE,5320,2,SPECIAL TOPICS IN SOFTWARE ENGINEERING,May be repeated for credit when topics vary.,15,4,1,1,4,0,0,0,0,0,0,25
2021 - 2022,2022 Spring,GRAD,GRAD,Allison,Sullivan,Ana Jovanovic,CSE,6392,3,SPECIAL TOPICS IN ADVANCED COMPUTER SCIENCE,May be repeated for credit when the topics vary.,8,2,0,0,0,0,0,0,0,0,0,10
2021 - 2022,2022 Spring,GRAD,GRAD,Bahra,Khalili Najafabadi,,CSE,5330,201,DATABASE SYSTEMS,"Database system architecture;  management and analysis of files, indexing, hashing, and B+-trees; the relational model and algebra; the SQL database language; database programming techniques, database design using Entry-Relationship, extended E-R, and UML modeling; basics of normalization. Introduction to database security, query processing and transaction management.",0,0,0,0,0,0,52,0,0,0,0,52
2021 - 2022,2022 Spring,GRAD,GRAD,Bahra,Khalili Najafabadi,"Adly Noore, Rodrigo Augusto Silva Dos Santos",CSE,5325,2,"SOFTWARE ENGINEERING: MANAGEMENT, MAINTENANCE, AND QUALITY ASSURANCE","Issues and principles for software management; managerial and support aspects of software projects, including: processes, estimation techniques, planning and scheduling, risk analysis, metrics, and quality assurance. Other topics include: configuration management, verification and validation, and maintenance; team project.",32,7,1,0,0,0,0,0,0,0,0,40
2021 - 2022,2022 Spring,GRAD,GRAD,Bahra,Khalili Najafabadi,"Adly Noore, Rodrigo Augusto Silva Dos Santos",CSE,5325,201,"SOFTWARE ENGINEERING: MANAGEMENT, MAINTENANCE, AND QUALITY ASSURANCE","Issues and principles for software management; managerial and support aspects of software projects, including: processes, estimation techniques, planning and scheduling, risk analysis, metrics, and quality assurance. Other topics include: configuration management, verification and validation, and maintenance; team project.",5,33,7,0,6,0,0,0,0,0,0,51
2021 - 2022,2022 Spring,GRAD,GRAD,Bahra,Khalili Najafabadi,Stelly Tomy,CSE,6324,1,ADVANCED TOPICS IN SOFTWARE ENGINEERING,May be repeated for credit when topics change.,37,5,0,0,0,0,0,0,0,0,0,42
